time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,ƒ{ƒ^ƒ“
0,1,1.403442,0,0,0,143,80,0,0,0,20,off
1,1,1.403442,1,1.499972,47.19989,145.4666,92.09391,34.0947,143,109.176,17.2723,off
2,1,1.403442,1,1.493327,54.54277,147.0095,106.4405,35.46387,143,119.754,13.5113,off
3,1,1.403442,1,1.5,59.87057,147.6584,122.8622,39.92706,143,130.7028,8.063202,off
4,1,1.403442,1,1.5,60.01556,147.75,139.846,40.07263,143,142.0365,2.412308,off
5,1,1.403442,1,1.5,59.87,147.75,156.8293,39.92706,143,153.3693,3.237381,off
6,1,1.403442,1,1.5,60.01436,146.912,173.7063,40.07263,143,164.703,8.7798,off
7,1,1.403442,1.161658,1.5,59.87108,144.1517,190.4495,47.41425,143,177.1174,13.06786,off
8,1,1.403442,1.178177,1,60.01437,143.211,207.404,43.81622,143,190.427,16.73444,off
9,1,1.403442,1.223066,1.483761,59.8702,143.0087,224.3859,45.68665,143,202.6254,21.50594,off
10,1,1.396656,1,1,59.29596,143,241.3605,43.81622,143,215.7861,25.33179,off
11,1.151544,1.38455,1,1,58.28796,143,258.2728,39.92706,143,227.3893,30.66084,off
12,1,1,1,1,56.99158,143,274.9922,40.07263,143,238.723,36.04732,off
13,1,1,1,1,49.64722,143,290.0789,39.92706,143,250.0559,39.80038,off
14,1,1,1,1,42.30286,143,303.0849,40.07263,143,261.3898,41.4733,off
15,1,1,1,1,39.85291,143,314.4996,39.92981,143,272.7231,41.55389,off
16,1,1,1,1,40.00122,143,325.8127,40.07263,143,284.0571,41.53369,off
17,1,1,1,1,39.85291,143,337.1249,39.92981,143,295.3904,41.51187,off
18,1,1,1,1,40.00122,143,348.438,40.07263,143,306.7245,41.49167,off
19,1,1,1,1,39.85291,143,359.7502,39.92981,143,318.0578,41.46985,off
20,1,1,1,1,40.00122,143,371.0633,40.07263,143,329.3918,41.44965,off
21,1,1,1,1,39.85291,143,382.3756,39.92981,143,340.7251,41.42783,off
22,1,1,1,1,40.00122,143,393.6887,40.07263,143,352.0592,41.40762,off
23,1,1,1,1,39.85291,143,405.0009,39.92981,143,363.3925,41.3858,off
24,1,1,1,1,40.00122,143,416.314,40.07263,143,374.7266,41.3656,off
25,1,1,1,1,39.85291,143,427.6263,39.92981,143,386.0598,41.34378,off
26,1,1,1,1,40.00122,143,438.9393,40.07263,143,397.3939,41.32358,off
27,1,1,1,1,39.85291,143,450.2516,39.92981,143,408.7272,41.30176,off
