time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,YellowCarPositionX,YellowCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1.42,1,1,1,0,143,60,0,143,100,40,False,False
1,1.42,1,1,1,40.14267,143,71.32866,40.14404,143,111.3415,40.01285,False,False
2,1.42,1,1,1,39.99985,143,82.68037,39.99985,143,122.6948,40.01444,False,False
3,1.42,1,1,1,39.85565,143,94.01206,40.14404,143,134.0488,40.03677,False,False
4,1.42,1,1,1,39.99985,143,105.3253,39.99847,143,145.4019,40.07662,False,False
5,1.42,1,1,1,39.85565,143,116.6378,40.14404,143,156.7559,40.11809,False,False
6,1.42,1,1,1,39.99985,143,127.951,39.99847,143,168.109,40.15794,False,False
7,1.42,1,1,1,40.14404,143,139.3034,40.14404,143,179.4629,40.15955,False,False
8,1.42,1,1,1,39.99847,143,150.6565,39.99847,143,190.816,40.15955,False,False
9,1.42,1,1,1,40.14404,143,162.0104,40.14404,143,202.17,40.15955,False,False
10,1,1,1,1,39.99847,143,173.3635,39.99847,143,213.5231,40.15955,False,False
11,1,1,1,1,40.14404,143,184.7175,40.14404,143,224.877,40.15955,False,False
12,1,1,1,1,39.99847,143,196.0706,39.99847,143,236.2301,40.15955,False,False
13,1,1,1,1,40.14404,143,207.4245,40.14404,143,247.5841,40.15955,False,False
14,1,1,1,1,39.99847,143,218.7776,40.00122,143,258.9276,40.14995,False,False
15,1,1,1,1,40.14404,143,230.1316,39.85291,143,270.2398,40.10828,False,False
